COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Colombia,COL,AMRO,REPORTING,2021-03-26,1476364,1359247,2.901,2.671,"Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,2
Cambodia,KHM,WPRO,REPORTING,2021-03-23,401972,316287,2.404,1.892,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-10,2
Montserrat,MSR,AMRO,REPORTING,2021-03-26,1396,1164,27.926,23.285,AstraZeneca - AZD1222,2021-02-08,1
occupied Palestinian territory,PSE,EMRO,REPORTING,2021-03-24,27589,,0.541,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-02,5
Panama,PAN,AMRO,REPORTING,2021-03-26,306679,,7.108,,Pfizer BioNTech - Comirnaty,2021-01-20,1
Guatemala,GTM,AMRO,REPORTING,2021-03-26,83076,83076,0.464,0.464,"Moderna - mRNA-1273,SII - Covishield",2021-02-25,2
Azerbaijan,AZE,EURO,REPORTING,2021-03-23,254862,81494,2.5,1.608,Sinovac - CoronaVac,2021-03-10,1
Oman,OMN,EMRO,REPORTING,2021-03-24,136872,,2.68,,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,3
Marshall Islands,MHL,WPRO,REPORTING,2021-03-11,0,0,0,0,Pfizer BioNTech - Comirnaty,2021-01-13,1
Jersey,JEY,EURO,OWID,2021-03-24,55114,43630,50.656,40.101,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Anguilla,AIA,AMRO,REPORTING,2021-03-26,5510,5499,36.728,36.655,AstraZeneca - AZD1222,2021-02-05,1
Viet Nam,VNM,WPRO,REPORTING,2021-03-12,1585,1585,0.002,0.002,AstraZeneca - AZD1222,2021-03-08,1
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-03-26,2187,2187,62.791,62.791,AstraZeneca - AZD1222,,1
Montenegro,MNE,EURO,REPORTING,2021-03-23,23313,20440,3.7,3.254,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-02-24,2
Niger,NER,AFRO,REPORTING,2021-03-26,,,,,,,
Argentina,ARG,AMRO,REPORTING,2021-03-26,3365839,2730260,7.447,6.041,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,3
Sint Maarten,SXM,AMRO,REPORTING,2021-03-26,7352,5684,17.145,13.255,Pfizer BioNTech - Comirnaty,2021-02-22,1
Qatar,QAT,EMRO,OWID,2021-03-30,790676,,27.444,,Pfizer BioNTech - Comirnaty,,1
Monaco,MCO,EURO,OWID,2021-03-19,18081,9750,46.1,24.845,Pfizer BioNTech - Comirnaty,,1
Republic of Moldova,MDA,EURO,REPORTING,2021-03-23,36295,36295,,0.9,AstraZeneca - AZD1222,2021-03-03,1
